DATE,PLAYER_NAME,TEAM,MARKET_FAMILY,LINE,ODDS,MODEL_PROB_ADJ,_EDGE_NEUTRAL,PROD_SCORE,MARKET_RANK,MARKET_PCTL,MARKET_N,MARKET_MIN_ROWS,IN_TOP_10PCT,IN_TOP_20PCT,IS_BETWORTHY,IS_RANK_ELIGIBLE,MARKET_PRIORITY,GAME_ID,COMMENCE_TIME,HOME_TEAM,AWAY_TEAM,BOOK,MARKET,SIDE,ALT_FLAG,HAS_FEATURES,PLAYER_TYPE,ENTITY_ID,batting_order,OPP,OPP_PITCHER_ID,OPP_PITCHER_NAME,HOME_PROBABLE_PITCHER_ID,AWAY_PROBABLE_PITCHER_ID,HOME_PROBABLE_PITCHER_NAME,AWAY_PROBABLE_PITCHER_NAME,MERGE_PITCHER_ID,HRR_R5,TB_R5,H_R5,BB_R5,K_R5,HR_R5,SB_R5,PA_R5,AB_R5,HBP_R5,SF_R5,AVG_R5,OBP_R5,SLG_R5,OPS_R5,BB_RATE_R5,H_RATE_R5,TB_PER_PA_R5,HRR_PER_PA_R5,HRR_R10,TB_R10,H_R10,BB_R10,K_R10,HR_R10,SB_R10,PA_R10,AB_R10,HBP_R10,SF_R10,AVG_R10,OBP_R10,SLG_R10,OPS_R10,BB_RATE_R10,H_RATE_R10,TB_PER_PA_R10,HRR_PER_PA_R10,HRR_R15,TB_R15,H_R15,BB_R15,K_R15,HR_R15,SB_R15,PA_R15,AB_R15,HBP_R15,SF_R15,AVG_R15,OBP_R15,SLG_R15,OPS_R15,BB_RATE_R15,H_RATE_R15,TB_PER_PA_R15,HRR_PER_PA_R15,IP_R5,PITCHES_R5,HR_ALLOWED_R5,H_ALLOWED_R5,ER_R5,K_PER_IP_R5,PITCHES_PER_IP_R5,ERA_R5,WHIP_R5,K_PER_9_R5,BB_PER_9_R5,HR_PER_9_R5,IP_R10,PITCHES_R10,HR_ALLOWED_R10,H_ALLOWED_R10,ER_R10,K_PER_IP_R10,PITCHES_PER_IP_R10,ERA_R10,WHIP_R10,K_PER_9_R10,BB_PER_9_R10,HR_PER_9_R10,IP_R15,PITCHES_R15,HR_ALLOWED_R15,H_ALLOWED_R15,ER_R15,K_PER_IP_R15,PITCHES_PER_IP_R15,ERA_R15,WHIP_R15,K_PER_9_R15,BB_PER_9_R15,HR_PER_9_R15,PARK_FACTOR,ELEVATION_FT,WIND_SCALAR,bvp_pa,bvp_ab,bvp_hits,bvp_hr,bvp_bb,bvp_so,bvp_tb,bvp_bbe,bvp_avg,bvp_slg,bvp_hr_rate_ab,bvp_bb_rate,bvp_so_rate,bvp_confidence_weight,bvp_matchup_score,BOOK_PROB,MODEL_PROB_RAW,MODEL_PROB_CAL,MODEL_PROB_FINAL,EDGE,LINE_TYPE,CONFIDENCE_TIER,TEMPLATE_MODEL_USED,START_TIME_CT,START_HOUR_CT,SLATE_BUCKET,FEATURE_BOOST,SLATE_RANK_PCT,RANK_BOOST,GAME_KEY,MODEL_PROB_USED,PICK_SCORE,BEST5_SCORE,BEST5_RANK_PCT,DIST_FROM_TOP,PRODUCT,SOURCE_FILE,PLAYER,TEAM_OUT,GAME,LINE_OUT,ODDS_OUT,MODEL_PROB_META,RAW_SCORE_META,EDGE_META,FEATURE_BOOST_META,LINE_TYPE_META,META_SCORE,SINGLE_SCORE,NOTE,ACTION,REASON,RECOMMENDATION_TYPE,NUM_LEGS,PARLAY_AMERICAN,PARLAY_MODEL_PROB,PARLAY_EDGE,PARLAY_BOOK_PROB,PARLAY_DECIMAL,PARLAY_SCORE,P1_PLAYER,P1_TEAM,P1_MARKET,P1_LINE,P1_ODDS,P1_PROB,P1_EDGE,P1_LEG_SCORE,P1_GAME,P2_PLAYER,P2_TEAM,P2_MARKET,P2_LINE,P2_ODDS,P2_PROB,P2_EDGE,P2_LEG_SCORE,P2_GAME,P3_PLAYER,P3_TEAM,P3_MARKET,P3_LINE,P3_ODDS,P3_PROB,P3_EDGE,P3_LEG_SCORE,P3_GAME,P4_PLAYER,P4_TEAM,P4_MARKET,P4_LINE,P4_ODDS,P4_PROB,P4_EDGE,P4_LEG_SCORE,P4_GAME,P5_PLAYER,P5_TEAM,P5_MARKET,P5_LINE,P5_ODDS,P5_PROB,P5_EDGE,P5_LEG_SCORE,P5_GAME,P6_PLAYER,P6_TEAM,P6_MARKET,P6_LINE,P6_ODDS,P6_PROB,P6_EDGE,P6_LEG_SCORE,P6_GAME,P7_PLAYER,P7_TEAM,P7_MARKET,P7_LINE,P7_ODDS,P7_PROB,P7_EDGE,P7_LEG_SCORE,P7_GAME,P8_PLAYER,P8_TEAM,P8_MARKET,P8_LINE,P8_ODDS,P8_PROB,P8_EDGE,P8_LEG_SCORE,P8_GAME,P9_PLAYER,P9_TEAM,P9_MARKET,P9_LINE,P9_ODDS,P9_PROB,P9_EDGE,P9_LEG_SCORE,P9_GAME,P10_PLAYER,P10_TEAM,P10_MARKET,P10_LINE,P10_ODDS,P10_PROB,P10_EDGE,P10_LEG_SCORE,P10_GAME,P11_PLAYER,P11_TEAM,P11_MARKET,P11_LINE,P11_ODDS,P11_PROB,P11_EDGE,P11_LEG_SCORE,P11_GAME,P12_PLAYER,P12_TEAM,P12_MARKET,P12_LINE,P12_ODDS,P12_PROB,P12_EDGE,P12_LEG_SCORE,P12_GAME,P13_PLAYER,P13_TEAM,P13_MARKET,P13_LINE,P13_ODDS,P13_PROB,P13_EDGE,P13_LEG_SCORE,P13_GAME,P14_PLAYER,P14_TEAM,P14_MARKET,P14_LINE,P14_ODDS,P14_PROB,P14_EDGE,P14_LEG_SCORE,P14_GAME,P15_PLAYER,P15_TEAM,P15_MARKET,P15_LINE,P15_ODDS,P15_PROB,P15_EDGE,P15_LEG_SCORE,P15_GAME
2026-06-02,Jarren Duran,boston red sox,HRR,1.5,-132.0,0.75390038341219,0.0,0.75390038341219,1.0,1.0,267.0,18.0,True,True,True,True,0.0,0aecf375a07f34755e00a1ba7fb63c16,2026-06-02T22:45:00Z,Boston Red Sox,Baltimore Orioles,draftkings,HRR,Over,0.0,1.0,BATTER,680776.0,,baltimore orioles,669358.0,,813349.0,669358.0,,,669358.0,4.8,4.8,1.8,1.2,0.8,0.8,0.2,5.0,3.6,0.0,0.2,0.5,0.6,1.3333333333333333,1.933333333333333,0.24,0.36,0.96,0.96,4.1,4.0,1.6,0.7,1.1,0.7,0.2,4.9,4.1,0.0,0.1,0.3902439024390244,0.4693877551020408,0.9756097560975612,1.4449975111996018,0.1428571428571428,0.3265306122448979,0.8163265306122448,0.8367346938775508,3.0,2.7333333333333334,1.1333333333333333,0.5333333333333333,1.0666666666666669,0.4666666666666667,0.2,4.6,4.0,0.0,0.0666666666666666,0.2833333333333333,0.3623188405797101,0.6833333333333333,1.0456521739130435,0.1159420289855072,0.2463768115942029,0.5942028985507247,0.6521739130434783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.91,20.0,1.25,15.0,14.0,2.0,0.0,0.0,3.0,3.0,11.0,0.1428571428571428,0.2142857142857142,0.0,0.0,0.2,1.0,0.1392857142857143,0.5689655172413793,0.6739003834121899,0.6739003834121899,0.6739003834121899,0.1049348661708106,BASE,ELITE,True,2026-06-02 17:45:00-05:00,17.0,late,0.022,0.9338103756708408,0.058,0aecf375a07f34755e00a1ba7fb63c16,0.75390038341219,0.7969789548407614,0.9549789548407616,1.0,0.0,BEST5,daily_out\best5_2026-06-02_full.csv,Jarren Duran,boston red sox,0aecf375a07f34755e00a1ba7fb63c16,1.5,-132,0.75390038341219,0.7969789548407614,0.1049348661708106,0.022,BASE,0.9153801945455843,,,PUBLISH_PREMIUM,HRR core market | base line priority | model 75.4% | advanced boost +0.022 | meta 0.915,STRAIGHT_PLAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-02,Yandy Diaz,tampa bay rays,HRR,1.5,-144.0,0.6617280444964873,0.0,0.6617280444964873,2.0,0.99625468164794,267.0,18.0,True,True,True,True,0.0,507ec1a59ca1a2aa1386a2dbe2fbfa7b,2026-06-02T22:40:00Z,Tampa Bay Rays,Detroit Tigers,draftkings,HRR,Over,0.0,1.0,BATTER,650490.0,1.0,detroit tigers,656427.0,,571927.0,656427.0,,,656427.0,4.2,3.2,1.8,0.6,0.4,0.2,0.0,4.4,3.6,0.2,0.0,0.5,0.5909090909090908,0.888888888888889,1.4797979797979797,0.1363636363636363,0.409090909090909,0.7272727272727273,0.9545454545454544,3.1,2.4,1.4,0.3,0.3,0.2,0.0,4.0,3.6,0.1,0.0,0.3888888888888888,0.45,0.6666666666666666,1.1166666666666667,0.075,0.35,0.6,0.775,3.0,2.2,1.3333333333333333,0.4,0.3333333333333333,0.2,0.0,4.066666666666666,3.533333333333333,0.1333333333333333,0.0,0.3773584905660377,0.4590163934426229,0.6226415094339623,1.0816579028765854,0.0983606557377049,0.3278688524590163,0.5409836065573771,0.7377049180327869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.86,44.0,1.0,8.0,7.0,3.0,1.0,0.0,0.0,6.0,7.0,0.4285714285714285,0.8571428571428571,0.1428571428571428,0.0,0.0,0.8,0.4171428571428571,0.5901639344262295,0.6167280444964872,0.6167280444964872,0.6167280444964872,0.0265641100702577,BASE,ELITE,True,2026-06-02 17:40:00-05:00,17.0,late,0.022,0.817531305903399,0.023,507ec1a59ca1a2aa1386a2dbe2fbfa7b,0.6617280444964873,0.7092280444964872,0.8072280444964873,0.9903381642512076,0.0921723389157027,BEST5,daily_out\best5_2026-06-02_full.csv,Yandy Diaz,tampa bay rays,507ec1a59ca1a2aa1386a2dbe2fbfa7b,1.5,-144,0.6617280444964873,0.7092280444964872,0.0265641100702577,0.022,BASE,0.8347106791569087,,,PUBLISH_PREMIUM,HRR core market | base line priority | model 66.2% | advanced boost +0.022 | meta 0.835,STRAIGHT_PLAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-02,Trevor McDonald,san francisco giants,K,4.5,-127.0,0.6664058370044055,,,1.0,1.0,14.0,5.0,True,True,True,True,0.0,28a4a80f7b04c4d03f249c8cb82ad092,2026-06-02T23:40:00Z,Milwaukee Brewers,San Francisco Giants,draftkings,K,Over,0.0,1.0,PITCHER,686790.0,,milwaukee brewers,,,690986.0,686790.0,,,,,,,1.0,7.0,,,,,,,,,,,,,,,,,,1.0,7.0,,,,,,,,,,,,,,,,,,1.0,7.0,,,,,,,,,,,,,,,6.666666666666666,83.5,0.5,4.0,1.5,1.05,12.525,2.0250000000000004,0.7500000000000001,9.45,1.35,0.675,6.666666666666666,83.5,0.5,4.0,1.5,1.05,12.525,2.0250000000000004,0.7500000000000001,9.45,1.35,0.675,6.666666666666666,83.5,0.5,4.0,1.5,1.05,12.525,2.0250000000000004,0.7500000000000001,9.45,1.35,0.675,1.1,635.0,0.9,,,,,,,,,,,,,,,,0.5594713656387665,0.6384058370044055,0.6384058370044055,0.6384058370044055,0.0789344713656389,BASE,ELITE,True,2026-06-02 18:40:00-05:00,18.0,late,0.005,0.8300536672629696,0.023,28a4a80f7b04c4d03f249c8cb82ad092,0.6664058370044055,0.6936558370044055,0.7836558370044056,0.9951690821256038,0.0874945464077845,BEST5,daily_out\best5_2026-06-02_full.csv,Trevor McDonald,san francisco giants,28a4a80f7b04c4d03f249c8cb82ad092,4.5,-127,0.6664058370044055,0.6936558370044055,0.0789344713656389,0.005,BASE,0.8247621365638768,,,PUBLISH_PREMIUM,K core market | base line priority | model 66.6% | advanced boost +0.005 | meta 0.825,STRAIGHT_PLAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-02,Ceddanne Rafaela,boston red sox,HRR,1.5,-134.0,0.6564526228602316,0.0,0.6564526228602316,3.0,0.99250936329588,267.0,18.0,True,True,True,True,0.0,0aecf375a07f34755e00a1ba7fb63c16,2026-06-02T22:45:00Z,Boston Red Sox,Baltimore Orioles,draftkings,HRR,Over,0.0,1.0,BATTER,678882.0,9.0,baltimore orioles,669358.0,,813349.0,669358.0,,,669358.0,4.6,3.2,2.2,0.0,0.8,0.2,0.2,4.8,4.8,0.0,0.0,0.4583333333333333,0.4583333333333333,0.6666666666666667,1.125,0.0,0.4583333333333333,0.6666666666666667,0.9583333333333331,2.6,1.9,1.4,0.0,1.1,0.1,0.2,4.4,4.3,0.1,0.0,0.3255813953488372,0.3409090909090909,0.4418604651162791,0.78276955602537,0.0,0.3181818181818181,0.4318181818181817,0.5909090909090908,2.466666666666667,1.933333333333333,1.2666666666666666,0.0666666666666666,1.0666666666666669,0.0666666666666666,0.1333333333333333,4.4,4.266666666666667,0.0666666666666666,0.0,0.296875,0.3181818181818182,0.453125,0.7713068181818181,0.0151515151515151,0.2878787878787878,0.4393939393939393,0.5606060606060606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.91,20.0,1.25,8.0,6.0,2.0,0.0,1.0,1.0,2.0,5.0,0.3333333333333333,0.3333333333333333,0.0,0.125,0.125,0.8,0.2133333333333333,0.5726495726495726,0.6114526228602316,0.6114526228602316,0.6114526228602316,0.0388030502106589,BASE,ELITE,True,2026-06-02 17:45:00-05:00,17.0,late,0.022,0.8032200357781754,0.023,0aecf375a07f34755e00a1ba7fb63c16,0.6564526228602316,0.7017526228602317,,,,TOP10_HRR,daily_out\top10_2026-06-02_full_HRR.csv,Ceddanne Rafaela,boston red sox,0aecf375a07f34755e00a1ba7fb63c16,1.5,-134,0.6564526228602316,0.7017526228602317,0.0388030502106589,0.022,BASE,0.819848308117004,,,PUBLISH_PREMIUM,HRR core market | base line priority | model 65.6% | advanced boost +0.022 | meta 0.820,STRAIGHT_PLAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-02,Ben Rice,new york yankees,HRR,1.5,-120.0,0.6363043831168832,0.0,0.6363043831168832,4.0,0.9887640449438202,267.0,18.0,True,True,True,True,0.0,286c7b1ca015708320800e8f2a9bf4de,2026-06-02T23:05:00Z,New York Yankees,Cleveland Guardians,draftkings,HRR,Over,0.0,1.0,BATTER,700250.0,,cleveland guardians,676282.0,,693645.0,676282.0,,,676282.0,3.8,3.0,1.2,0.2,0.8,0.2,0.0,4.6,4.4,0.0,0.0,0.2727272727272727,0.3043478260869565,0.6818181818181818,0.9861660079051382,0.0434782608695652,0.2608695652173913,0.6521739130434783,0.8260869565217391,3.5,3.0,1.4,0.3,0.6,0.3,0.1,4.3,4.0,0.0,0.0,0.35,0.3953488372093023,0.75,1.1453488372093024,0.0697674418604651,0.3255813953488372,0.6976744186046512,0.813953488372093,3.466666666666667,3.0,1.4,0.4,0.6666666666666666,0.3333333333333333,0.0666666666666666,4.466666666666667,4.0,0.0,0.0666666666666666,0.35,0.4029850746268656,0.75,1.1529850746268655,0.0895522388059701,0.3134328358208955,0.6716417910447761,0.7761194029850746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,54.0,1.25,3.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3,0.0,0.5454545454545454,0.6223043831168832,0.6223043831168832,0.6223043831168832,0.0768498376623377,BASE,ELITE,True,2026-06-02 18:05:00-05:00,18.0,late,0.006,0.7924865831842576,0.008,286c7b1ca015708320800e8f2a9bf4de,0.6363043831168832,0.6718043831168832,0.7698043831168833,0.9806763285024156,0.1175960002953068,BEST5,daily_out\best5_2026-06-02_full.csv,Ben Rice,new york yankees,286c7b1ca015708320800e8f2a9bf4de,1.5,-120,0.6363043831168832,0.6718043831168832,0.0768498376623377,0.006,BASE,0.8092178571428573,,,PUBLISH_PREMIUM,HRR core market | base line priority | model 63.6% | advanced boost +0.006 | meta 0.809,STRAIGHT_PLAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-02,,,,,,,,,,,,,,,,,,,,,,,HRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RISKY_PARLAY,daily_out\mlb_risky_parlay_2026-06-02_full.csv,Jarren Duran,boston red sox,0aecf375a07f34755e00a1ba7fb63c16,1.5,-132,,,,,,0.26071834983073333,,,CONTENT_ONLY,"Usable as content, not premium",PARLAY_PRODUCT,3.0,476.0,0.2677289979357063,0.0940999534271236,0.1736290445085827,5.759405074365704,0.3657183498307333,Jarren Duran,boston red sox,HRR,1.5,-132.0,0.6739003834121899,0.1049348661708106,0.6530763220662396,0aecf375a07f34755e00a1ba7fb63c16,Ben Rice,new york yankees,HRR,1.5,-120.0,0.6223043831168832,0.0768498376623377,0.6097356818181819,286c7b1ca015708320800e8f2a9bf4de,Trevor McDonald,san francisco giants,K,4.5,-127.0,0.6384058370044055,0.0789344713656389,0.5902609030837006,28a4a80f7b04c4d03f249c8cb82ad092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-02,,,,,,,,,,,,,,,,,,,,,,,HRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SGP,daily_out\mlb_specific_game_parlays_2026-06-02_full.csv,Jarren Duran,boston red sox,0aecf375a07f34755e00a1ba7fb63c16,1.5,-132,,,,,,0.49721531948805503,,,PUBLISH,Strongest parlay profile today,PARLAY_PRODUCT,2.0,207.0,0.4038169938442212,0.0779991335436023,0.3258178603006189,3.0691994572591588,0.557215319488055,Jarren Duran,boston red sox,HRR,1.5,-132.0,0.6739003834121899,0.1049348661708106,0.6659883527392149,0aecf375a07f34755e00a1ba7fb63c16,Ceddanne Rafaela,boston red sox,HRR,1.5,-134.0,0.6114526228602316,0.0388030502106589,0.6085364130314131,0aecf375a07f34755e00a1ba7fb63c16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-02,,,,,,,,,,,,,,,,,,,,,,,HRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAFE_PARLAY,daily_out\mlb_safe_parlay_2026-06-02_full.csv,Jarren Duran,boston red sox,0aecf375a07f34755e00a1ba7fb63c16,1.5,-132,,,,,,0.4673946090972631,,,PUBLISH,Strongest parlay profile today,PARLAY_PRODUCT,2.0,214.0,0.4302219383298489,0.1119020233974472,0.3183199149324017,3.141493676926748,0.4573946090972631,Jarren Duran,boston red sox,HRR,1.5,-132.0,0.6739003834121899,0.1049348661708106,0.6839883527392149,0aecf375a07f34755e00a1ba7fb63c16,Trevor McDonald,san francisco giants,K,4.5,-127.0,0.6384058370044055,0.0789344713656389,0.6293333700440531,28a4a80f7b04c4d03f249c8cb82ad092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-02,,,,,,,,,,,,,,,,,,,,,,,HRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SGP,daily_out\mlb_specific_game_parlays_2026-06-02_full.csv,Ben Rice,new york yankees,286c7b1ca015708320800e8f2a9bf4de,1.5,-120,,,,,,0.4669048390783051,,,PUBLISH,Strongest parlay profile today,PARLAY_PRODUCT,2.0,240.0,0.3687485628469495,0.0746555590765264,0.2940930037704231,3.4002849002849005,0.5269048390783051,Ben Rice,new york yankees,HRR,1.5,-120.0,0.6223043831168832,0.0768498376623377,0.6185200324675326,286c7b1ca015708320800e8f2a9bf4de,Cody Bellinger,new york yankees,HRR,1.5,-117.0,0.6046463016004567,0.0654757946880143,0.6022745974724203,286c7b1ca015708320800e8f2a9bf4de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-02,,,,,,,,,,,,,,,,,,,,,,,HRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LADDER_PARLAY,daily_out\mlb_ladder_parlay_2026-06-02_full.csv,Jarren Duran,boston red sox,0aecf375a07f34755e00a1ba7fb63c16,1.5,-132,,,,,,0.4547887932842203,,,PUBLISH,Strongest parlay profile today,PARLAY_PRODUCT,2.0,214.0,0.4302219383298489,0.1119020233974472,0.3183199149324017,3.141493676926748,0.4697887932842203,Jarren Duran,boston red sox,HRR,1.5,-132.0,0.6739003834121899,0.1049348661708106,0.6675103450709711,0aecf375a07f34755e00a1ba7fb63c16,Trevor McDonald,san francisco giants,K,4.5,-127.0,0.6384058370044055,0.0789344713656389,0.632565253303965,28a4a80f7b04c4d03f249c8cb82ad092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
