PLAYER_ID,PLAYER_NAME,TEAM,AT_BATS,HITS,DOUBLES,TRIPLES,HOME_RUNS,TOTAL_BASES,RUNS,RBI,WALKS,STRIKEOUTS,STOLEN_BASES,HBP,SAC_FLIES,PA,AVG,OBP,SLG,OPS,HRR
808959,Munetaka Murakami,chicago white sox,141,37,1,0,15,83,29,30,32,55,1,0,1,174,0.2624113475177305,0.39655172413793105,0.5886524822695035,0.9852042064074346,96
670541,Yordan Alvarez,houston astros,157,49,9,0,14,100,28,29,25,27,1,5,1,188,0.31210191082802546,0.42021276595744683,0.6369426751592356,1.0571554411166826,106
592450,Aaron Judge,new york yankees,141,37,6,0,14,85,36,29,29,50,5,2,1,174,0.2624113475177305,0.3930635838150289,0.6028368794326241,0.995900463247653,102
621566,Matt Olson,atlanta braves,162,48,16,0,13,103,36,37,24,40,0,0,2,188,0.2962962962962963,0.3829787234042553,0.6358024691358025,1.0187811925400578,121
700250,Ben Rice,new york yankees,126,42,11,2,13,96,33,36,23,34,2,1,2,152,0.3333333333333333,0.4342105263157895,0.7619047619047619,1.1961152882205512,111
695578,James Wood,washington nationals,163,41,10,0,12,87,37,32,34,62,6,2,0,199,0.25153374233128833,0.3869346733668342,0.5337423312883436,0.9206770046551778,110
621439,Byron Buxton,minnesota twins,156,39,7,1,12,84,28,18,10,41,3,3,1,170,0.25,0.3058823529411765,0.5384615384615384,0.8443438914027149,85
545361,Mike Trout,los angeles angels,145,36,5,0,12,77,34,24,43,44,5,3,0,191,0.2482758620689655,0.4293193717277487,0.5310344827586206,0.9603538544863693,94
701398,Sal Stewart,cincinnati reds,158,44,7,0,11,84,25,32,21,31,7,0,2,181,0.27848101265822783,0.35911602209944754,0.5316455696202531,0.8907615917197007,101
683002,Gunnar Henderson,baltimore orioles,171,39,7,1,11,81,26,23,12,56,5,1,1,185,0.22807017543859648,0.2810810810810811,0.47368421052631576,0.7547652916073968,88
691406,Junior Caminero,tampa bay rays,151,42,4,0,11,79,28,22,26,28,0,0,1,178,0.2781456953642384,0.38202247191011235,0.5231788079470199,0.9052012798571323,92
666160,Mickey Moniak,colorado rockies,109,34,7,1,11,76,19,21,7,28,1,2,1,119,0.3119266055045872,0.36134453781512604,0.6972477064220184,1.0585922442371445,74
656941,Kyle Schwarber,philadelphia phillies,140,29,6,1,11,70,22,21,26,55,0,4,0,170,0.20714285714285716,0.34705882352941175,0.5,0.8470588235294118,72
672960,Kazuma Okamoto,toronto blue jays,147,34,2,0,11,69,23,24,19,54,0,1,0,167,0.23129251700680273,0.32335329341317365,0.46938775510204084,0.7927410485152144,81
669127,Shea Langeliers,athletics,149,47,9,0,10,86,26,18,15,35,0,2,0,166,0.31543624161073824,0.3855421686746988,0.5771812080536913,0.9627233767283901,91
682829,Elly De La Cruz,cincinnati reds,159,42,6,1,10,80,31,26,20,52,9,1,0,180,0.2641509433962264,0.35,0.5031446540880503,0.8531446540880503,99
571970,Max Muncy,los angeles dodgers,137,37,6,0,10,73,27,14,22,39,0,0,0,159,0.27007299270072993,0.3710691823899371,0.5328467153284672,0.9039158977184043,78
695657,Colson Montgomery,chicago white sox,152,32,7,0,10,69,17,25,17,54,1,7,0,176,0.21052631578947367,0.3181818181818182,0.45394736842105265,0.7721291866028708,74
696100,Hunter Goodman,colorado rockies,145,30,7,0,10,67,27,18,11,60,1,4,0,160,0.20689655172413793,0.28125,0.46206896551724136,0.7433189655172414,75
686948,Drake Baldwin,atlanta braves,153,47,5,0,9,79,33,30,17,33,1,3,0,173,0.30718954248366015,0.3872832369942196,0.5163398692810458,0.9036231062752654,110
572233,Christian Walker,houston astros,154,43,9,0,9,79,24,28,16,32,0,2,1,173,0.2792207792207792,0.35260115606936415,0.512987012987013,0.8655881690563771,95
682928,CJ Abrams,washington nationals,145,44,7,0,9,78,24,33,18,31,8,8,3,174,0.30344827586206896,0.40229885057471265,0.5379310344827586,0.9402298850574713,101
547180,Bryce Harper,philadelphia phillies,149,38,9,1,9,76,23,24,22,31,3,0,2,173,0.2550335570469799,0.3468208092485549,0.5100671140939598,0.8568879233425146,85
