MARKET_FAMILY,bets,hits,hit_rate,avg_edge,avg_model_prob,avg_odds
HRR,9843,4765.0,0.484100375901656,-0.19739055505048955,0.32526357906470205,-28.917809610890988
K,3650,1670.0,0.4575342465753425,-0.1665515575254884,0.3424847571644199,-19.59123287671233
H,18620,7780.0,0.4178302900107411,-0.18901874855967743,0.2708741766137124,315.956552094522
BB,12949,3754.0,0.28990655649084873,-0.12517256969099194,0.20294359604558443,267.87041470383815
TB,30390,6396.0,0.2104639684106614,0.01735198484893516,0.2770160752549698,432.61832839749917
