CONFIDENCE_TIER,bets,hits,hit_rate,avg_edge,avg_model_prob,avg_odds
ELITE,3256,1472.0,0.4520884520884521,-0.05825856393684411,0.41447478450075226,34.81019656019656
UNKNOWN,2905,1290.0,0.4440619621342513,-0.16471899462703934,0.3390344748404093,-16.32908777969019
LEAN,6763,3001.0,0.4437379861008428,-0.14223523970860869,0.33533702941234794,28.142540292769482
SOLID,4929,2041.0,0.41407993507810914,-0.09326063620905994,0.37309840529010524,41.57557313856766
VOLATILE,57599,16561.0,0.2875223528186253,-0.08809307689867912,0.24480354998850065,376.425458775326
