EDGE_BUCKET,bets,hits,hit_rate,avg_edge,avg_model_prob,avg_odds
< -0.20,24112,12241.0,0.5076725282017253,-0.33453796060541746,0.2206997861950029,-82.59136529528865
-0.20 to -0.10,13396,4854.0,0.3623469692445506,-0.1487335651056025,0.26903295187125514,115.1486264556584
-0.10 to -0.05,6912,2252.0,0.3258101851851852,-0.07569829255060921,0.29112121174951405,210.8890335648148
-0.05 to 0.00,6308,1659.0,0.262999365884591,-0.02632250857932433,0.27893994779236875,340.1309448319594
0.00 to 0.05,4692,1031.0,0.21973572037510655,0.024351260728889365,0.28475633070350026,436.4701619778346
0.05 to 0.10,4233,753.0,0.1778880226789511,0.07494956105014125,0.2948161125085605,461.88825891802503
0.10 to 0.20,8469,1076.0,0.12705159995276893,0.148640649831257,0.31423494808939323,645.2066359664659
>= 0.20,7330,499.0,0.06807639836289223,0.25836801554349836,0.3545975901169642,1298.9420190995907
