LINE_TYPE,bets,hits,hit_rate,avg_edge,avg_model_prob,avg_odds
BASE,32860,14764.0,0.44930006086427265,-0.22102155412906094,0.2720197368797762,15.276597687157638
ALT,41105,9032.0,0.21972995985889796,0.0018755755503687065,0.2674813370695279,519.773920447634
